"date"	"title"	"link"	"Status"	"File"	"Notes"
"20140214"	"Reservoir Sampling, Improved"	"http://programmingpraxis.com/2014/02/14/reservoir-sampling-improved/"			
"20140211"	"Years, Months, Days"	"http://programmingpraxis.com/2014/02/11/years-months-days/"			
"20140207"	"N+1 Primality Prover"	"http://programmingpraxis.com/2014/02/07/n1-primality-prover/"			
"20140204"	"Lucas Pseudoprimes"	"http://programmingpraxis.com/2014/02/04/lucas-pseudoprimes/"			
"20140131"	"Reservoir Sampling"	"http://programmingpraxis.com/2014/01/31/reservoir-sampling/"			
"20140128"	"Hart’s One-Line Factoring Algorithm"	"http://programmingpraxis.com/2014/01/28/harts-one-line-factoring-algorithm/"			
"20140124"	"Factoring Factorials"	"http://programmingpraxis.com/2014/01/24/factoring-factorials/"			
"20140121"	"Lucas Sequences, Revisited"	"http://programmingpraxis.com/2014/01/21/lucas-sequences-revisited/"			
"20140117"	"Shuffle Box"	"http://programmingpraxis.com/2014/01/17/shuffle-box/"			
"20140114"	"Minimum Standard Random Number Generator"	"http://programmingpraxis.com/2014/01/14/minimum-standard-random-number-generator/"			
"20140110"	"The Divisor Function Sigma"	"http://programmingpraxis.com/2014/01/10/the-divisor-function-sigma/"			
"20140107"	"Counting Zeros"	"http://programmingpraxis.com/2014/01/07/counting-zeros/"			
"20131224"	"O Tannenbaum"	"http://programmingpraxis.com/2013/12/24/o-tannenbaum/"			
"20131220"	"Requiescat In Pace"	"http://programmingpraxis.com/2013/12/20/requiescat-in-pace/"			
"20131217"	"Remove Duplicates From A List"	"http://programmingpraxis.com/2013/12/17/remove-duplicates-from-a-list/"			
"20131213"	"Modular Factorial"	"http://programmingpraxis.com/2013/12/13/modular-factorial/"			
"20131210"	"Rock Paper Scissors"	"http://programmingpraxis.com/2013/12/10/rock-paper-scissors/"			
"20131206"	"Left-Handed Words"	"http://programmingpraxis.com/2013/12/06/left-handed-words/"			
"20131203"	"Reversing Parts Of A List"	"http://programmingpraxis.com/2013/12/03/reversing-parts-of-a-list/"			
"20131129"	"I Before E"	"http://programmingpraxis.com/2013/11/29/i-before-e/"			
"20131126"	"And The Winner Is …"	"http://programmingpraxis.com/2013/11/26/and-the-winner-is/"			
"20131122"	"Fletcher’s Checksum"	"http://programmingpraxis.com/2013/11/22/fletchers-checksum/"			
"20131119"	"Modular Testing"	"http://programmingpraxis.com/2013/11/19/modular-testing/"			
"20131115"	"Twitter Puddle"	"http://programmingpraxis.com/2013/11/15/twitter-puddle/"			
"20131112"	"Minimum Hamming Distance"	"http://programmingpraxis.com/2013/11/12/minimum-hamming-distance/"			
"20131108"	"Two Stacks Make A Queue"	"http://programmingpraxis.com/2013/11/08/two-stacks-make-a-queue/"			
"20131105"	"Two Queues Make A Stack"	"http://programmingpraxis.com/2013/11/05/two-queues-make-a-stack/"			
"20131101"	"Queues"	"http://programmingpraxis.com/2013/11/01/queues/"			
"20131029"	"The 16 Game"	"http://programmingpraxis.com/2013/10/29/the-16-game/"			
"20131025"	"Pessimal Algorithms and Simplexity Analysis"	"http://programmingpraxis.com/2013/10/25/pessimal-algorithms-and-simplexity-analysis/"			
"20131022"	"David Gries’ Coffee Can Problem"	"http://programmingpraxis.com/2013/10/22/david-gries-coffee-can-problem/"			
"20131018"	"Binary Tree Traversal"	"http://programmingpraxis.com/2013/10/18/binary-tree-traversal/"			
"20131015"	"Find The Minimum Difference"	"http://programmingpraxis.com/2013/10/15/find-the-minimum-difference/"			
"20131011"	"Imperative-Style Linked Lists"	"http://programmingpraxis.com/2013/10/11/imperative-style-linked-lists/"			
"20131008"	"Functional-Style Linked Lists"	"http://programmingpraxis.com/2013/10/08/functional-style-linked-lists/"			
"20131004"	"Calculating Statistics"	"http://programmingpraxis.com/2013/10/04/calculating-statistics/"			
"20131001"	"Lucas Sequences"	"http://programmingpraxis.com/2013/10/01/lucas-sequences/"			
"20130927"	"Double-Ended Priority Queues"	"http://programmingpraxis.com/2013/09/27/double-ended-priority-queues/"			
"20130924"	"Finding Digit Strings In Powers Of Two"	"http://programmingpraxis.com/2013/09/24/finding-digit-strings-in-powers-of-two/"			
"20130920"	"McCarthy’s 91 Function"	"http://programmingpraxis.com/2013/09/20/mccarthys-91-function/"			
"20130917"	"Smallest Consecutive Four-Factor Composites"	"http://programmingpraxis.com/2013/09/17/smallest-consecutive-four-factor-composites/"			
"20130912"	"Diffie Hellman Key Exchange"	"http://programmingpraxis.com/2013/09/12/diffie-hellman-key-exchange/"			
"20130906"	"Cartesian Product"	"http://programmingpraxis.com/2013/09/06/cartesian-product/"			
"20130903"	"Yet More Bit Hacks"	"http://programmingpraxis.com/2013/09/03/yet-more-bit-hacks/"			
"20130830"	"BMI Calculator"	"http://programmingpraxis.com/2013/08/30/bmi-calculator/"			
"20130827"	"Two Sieving Problems"	"http://programmingpraxis.com/2013/08/27/two-sieving-problems/"			
"20130823"	"Three Interview Questions"	"http://programmingpraxis.com/2013/08/23/three-interview-questions/"			
"20130820"	"More Bit Hacks"	"http://programmingpraxis.com/2013/08/20/more-bit-hacks/"			
"20130816"	"Monkey Grid Puzzle"	"http://programmingpraxis.com/2013/08/16/monkey-grid-puzzle/"			
"20130813"	"Unix Paths"	"http://programmingpraxis.com/2013/08/13/unix-paths/"			
"20130809"	"Bit Hacks"	"http://programmingpraxis.com/2013/08/09/bit-hacks/"			
"20130806"	"Sophie Germain Primes"	"http://programmingpraxis.com/2013/08/06/sophie-germain-primes/"			
"20130802"	"Ordered Hash Tables"	"http://programmingpraxis.com/2013/08/02/ordered-hash-tables/"			
"20130730"	"Who Buys The Croissants?"	"http://programmingpraxis.com/2013/07/30/who-buys-the-croissants/"			
"20130726"	"Find X[i] = i In An Array"	"http://programmingpraxis.com/2013/07/26/find-xi-i-in-an-array/"			
"20130723"	"Telephone Lookup"	"http://programmingpraxis.com/2013/07/23/telephone-lookup/"			
"20130719"	"J K Rowling"	"http://programmingpraxis.com/2013/07/19/j-k-rowling/"			
"20130716"	"Vampire Numbers"	"http://programmingpraxis.com/2013/07/16/vampire-numbers/"			
"20130712"	"Dynamic Hash Tables"	"http://programmingpraxis.com/2013/07/12/dynamic-hash-tables/"			
"20130709"	"No Exercise Today"	"http://programmingpraxis.com/2013/07/09/no-exercise-today/"			
"20130705"	"Weekdays Between Two Dates"	"http://programmingpraxis.com/2013/07/05/weekdays-between-two-dates/"			
"20130702"	"Decoding Text-Speak"	"http://programmingpraxis.com/2013/07/02/decoding-text-speak/"			
"20130628"	"A Programming Puzzle"	"http://programmingpraxis.com/2013/06/28/a-programming-puzzle/"			
"20130625"	"Swap list nodes"	"http://programmingpraxis.com/2013/06/25/swap-list-nodes/"			
"20130621"	"Multiple Polynomial Quadratic Sieve"	"http://programmingpraxis.com/2013/06/21/multi-polynomial-quadratic-sieve/"			
"20130618"	"3SUM"	"http://programmingpraxis.com/2013/06/18/3sum/"			
"20130614"	"The Digits of Pi, Again"	"http://programmingpraxis.com/2013/06/14/the-digits-of-pi-again/"			
"20130611"	"Longest Substring Of Two Unique Characters"	"http://programmingpraxis.com/2013/06/11/longest-substring-of-two-unique-characters/"			
"20130607"	"Sets"	"http://programmingpraxis.com/2013/06/07/sets/"			
"20130604"	"Egyptian Fractions"	"http://programmingpraxis.com/2013/06/04/egyptian-fractions/"			
"20130531"	"The Seven Bridges of Königsberg"	"http://programmingpraxis.com/2013/05/31/the-seven-bridges-of-knigsberg/"			
"20130528"	"Modular Multiplication Without Overflow"	"http://programmingpraxis.com/2013/05/28/modular-multiplication-without-overflow/"			
"20130524"	"Coin Change, Part 3"	"http://programmingpraxis.com/2013/05/24/coin-change-part-3/"			
"20130521"	"Coin Change, Part 2"	"http://programmingpraxis.com/2013/05/21/coin-change-part-2/"			
"20130517"	"Coin Change, Part 1"	"http://programmingpraxis.com/2013/05/17/coin-change-part-1/"			
"20130514"	"Optimal Alphabetical Order"	"http://programmingpraxis.com/2013/05/14/optimal-alphabetical-order/"			
"20130510"	"MindCipher"	"http://programmingpraxis.com/2013/05/10/mindcipher/"			
"20130507"	"Three List Exercises"	"http://programmingpraxis.com/2013/05/07/three-list-exercises/"			
"20130503"	"Pairing Students"	"http://programmingpraxis.com/2013/05/03/pairing-students/"			
"20130430"	"First Unrepeated Character In A String"	"http://programmingpraxis.com/2013/04/30/first-unrepeated-character-in-a-string/"			
"20130426"	"Correct Horse Battery Staple, Improved"	"http://programmingpraxis.com/2013/04/26/correct-horse-battery-staple-improved/"			
"20130423"	"Correct Horse Battery Staple"	"http://programmingpraxis.com/2013/04/23/correct-horse-battery-staple/"			
"20130419"	"Integer Roots"	"http://programmingpraxis.com/2013/04/19/integer-roots/"			
"20130416"	"Date Formatting"	"http://programmingpraxis.com/2013/04/16/date-formatting/"			
"20130412"	"Booth’s Algorithm"	"http://programmingpraxis.com/2013/04/12/booths-algorithm/"			
"20130409"	"Cyclic Equality"	"http://programmingpraxis.com/2013/04/09/cyclic-equality/"			
"20130405"	"Last Non-Zero Digit Of A Factorial"	"http://programmingpraxis.com/2013/04/05/last-non-zero-digit-of-a-factorial/"			
"20130402"	"Quadratic Sieve With Large Primes"	"http://programmingpraxis.com/2013/04/02/quadratic-sieve-with-large-primes/"			
"20130329"	"One Million Hits"	"http://programmingpraxis.com/2013/03/29/one-million-hits/"			
"20130326"	"Google Code Jam Qualification Round Africa 2010, Revisited"	"http://programmingpraxis.com/2013/03/26/google-code-jam-qualification-round-africa-2010-revisited/"			
"20130322"	"Jumping Jack"	"http://programmingpraxis.com/2013/03/22/jumping-jack/"			
"20130319"	"Quadratic Sieve"	"http://programmingpraxis.com/2013/03/19/quadratic-sieve/"			
"20130315"	"Buffon’s Needle"	"http://programmingpraxis.com/2013/03/15/buffons-needle/"			
"20130312"	"An Array Of Two Symbols"	"http://programmingpraxis.com/2013/03/12/an-array-of-two-symbols/"			
"20130308"	"Knight Moves"	"http://programmingpraxis.com/2013/03/08/knight-moves/"			
"20130305"	"Dutch National Flag"	"http://programmingpraxis.com/2013/03/05/dutch-national-flag/"			
"20130301"	"Baillie-Wagstaff Pseudoprimality Tester"	"http://programmingpraxis.com/2013/03/01/baillie-wagstaff-pseudoprimality-tester/"			
"20130226"	"An Odd Way To Square"	"http://programmingpraxis.com/2013/02/26/an-odd-way-to-square/"			
"20130222"	"Floupia"	"http://programmingpraxis.com/2013/02/22/floupia/"			
"20130219"	"NPR Sunday Puzzle"	"http://programmingpraxis.com/2013/02/19/npr-sunday-puzzle/"			
"20130215"	"Facebook Hacker Cup 2013, Round 1, Problem 1"	"http://programmingpraxis.com/2013/02/15/facebook-hacker-cup-2013-round-1-problem-1/"			
"20130212"	"Binary Search Tree: In-Order Predecessor And Successor"	"http://programmingpraxis.com/2013/02/12/binary-search-tree-in-order-predecessor-and-successor/"			
"20130208"	"The Biggest Prime"	"http://programmingpraxis.com/2013/02/08/the-biggest-prime/"			
"20130205"	"The 147 Puzzle"	"http://programmingpraxis.com/2013/02/05/the-147-puzzle/"			
"20130201"	"Hofstadter’s Sequence"	"http://programmingpraxis.com/2013/02/01/hofstadters-sequence/"			
"20130129"	"Essay: SRFI-41 Streams"	"http://programmingpraxis.com/2013/01/29/essay-srfi-41-streams/"			
"20130125"	"Imperative Heaps"	"http://programmingpraxis.com/2013/01/25/imperative-heaps/"			
"20130122"	"Splay Heaps"	"http://programmingpraxis.com/2013/01/22/splay-heaps/"			
"20130118"	"Triangle Trilemma"	"http://programmingpraxis.com/2013/01/18/triangle-trilemma/"			
"20130115"	"Translate CSV To HTML"	"http://programmingpraxis.com/2013/01/15/translate-csv-to-html/"			
"20130111"	"Essay: Text File Databases"	"http://programmingpraxis.com/2013/01/11/essay-text-file-databases/"			
"20130108"	"Floating Point Rounding"	"http://programmingpraxis.com/2013/01/08/floating-point-rounding/"			
"20130102"	"Four Points Determine A Square"	"http://programmingpraxis.com/2013/01/02/four-points-determine-a-square/"			
"20130101"	"Happy New Year!"	"http://programmingpraxis.com/2013/01/01/happy-new-year/"			
"20121228"	"Three Wise Men"	"http://programmingpraxis.com/2012/12/28/three-wise-men/"			
"20121225"	"The Twelve Days Of Christmas"	"http://programmingpraxis.com/2012/12/25/the-twelve-days-of-christmas/"			
"20121221"	"Building Primes"	"http://programmingpraxis.com/2012/12/21/building-primes/"			
"20121218"	"Petals Around The Rose"	"http://programmingpraxis.com/2012/12/18/petals-around-the-rose/"			
"20121214"	"115132219018763992565095597973971522401"	"http://programmingpraxis.com/2012/12/14/115132219018763992565095597973971522401/"			
"20121211"	"Stepwise Program Development: A Heuristic Algorithm"	"http://programmingpraxis.com/2012/12/11/stepwise-program-development-a-heuristic-algorithm/"			
"20121207"	"Wirth Problem 15.12"	"http://programmingpraxis.com/2012/12/07/wirth-problem-15-12/"			
"20121204"	"Median Of Five"	"http://programmingpraxis.com/2012/12/04/median-of-five/"			
"20121130"	"Selection, Revisited"	"http://programmingpraxis.com/2012/11/30/selection-revisited/"			
"20121127"	"Amazon Interview Question"	"http://programmingpraxis.com/2012/11/27/amazon-interview-question/"			
"20121123"	"Tonelli-Shanks Algorithm"	"http://programmingpraxis.com/2012/11/23/tonelli-shanks-algorithm/"			
"20121120"	"List Difference"	"http://programmingpraxis.com/2012/11/20/list-difference/"			
"20121116"	"List Intersection And Union"	"http://programmingpraxis.com/2012/11/16/list-intersection-and-union/"			
"20121113"	"Frobenius Primality Test"	"http://programmingpraxis.com/2012/11/13/frobenius-primality-test/"			
"20121109"	"Taxicab Numbers"	"http://programmingpraxis.com/2012/11/09/taxicab-numbers/"			
"20121106"	"Fix Something Annoying"	"http://programmingpraxis.com/2012/11/06/fix-something-annoying/"			
"20121102"	"Gasoline Mileage Log"	"http://programmingpraxis.com/2012/11/02/gasoline-mileage-log/"			
"20121030"	"Pandigital Numbers"	"http://programmingpraxis.com/2012/10/30/pandigital-numbers/"			
"20121026"	"Pythagorean Triples"	"http://programmingpraxis.com/2012/10/26/pythagorean-triples/"			
"20121023"	"Universal Hash Function"	"http://programmingpraxis.com/2012/10/23/universal-hash-function/"			
"20121019"	"Prime Partitions"	"http://programmingpraxis.com/2012/10/19/prime-partitions/"			
"20121016"	"Version Control"	"http://programmingpraxis.com/2012/10/16/version-control/"			
"20121012"	"Birthday Paradox"	"http://programmingpraxis.com/2012/10/12/birthday-paradox/"			
"20121009"	"Two Word Games"	"http://programmingpraxis.com/2012/10/09/two-word-games/"			
"20121005"	"AKS Primality Prover, Part 2"	"http://programmingpraxis.com/2012/10/05/aks-primality-prover-part-2/"			
"20121002"	"AKS Primality Prover, Part 1"	"http://programmingpraxis.com/2012/10/02/aks-primality-prover-part-1/"			
"20120928"	"Pocklington’s N-1 Primality Prover"	"http://programmingpraxis.com/2012/09/28/pocklingtons-n-1-primality-prover/"			
"20120925"	"Essay: Programming With Prime Numbers"	"http://programmingpraxis.com/2012/09/25/essay-programming-with-prime-numbers/"			
"20120921"	"Autumn Equinox"	"http://programmingpraxis.com/2012/09/21/autumn-equinox/"			
"20120918"	"ABC Conjecture"	"http://programmingpraxis.com/2012/09/18/abc-conjecture/"			
"20120914"	"Tribonacci Numbers"	"http://programmingpraxis.com/2012/09/14/tribonacci-numbers/"			
"20120911"	"The Sum Of The First Billion Primes"	"http://programmingpraxis.com/2012/09/11/the-sum-of-the-first-billion-primes/"			
"20120907"	"The First Two Programs"	"http://programmingpraxis.com/2012/09/07/the-first-two-programs/"			
"20120904"	"Fountain Codes"	"http://programmingpraxis.com/2012/09/04/fountain-codes/"			
"20120831"	"Once In A Blue Moon"	"http://programmingpraxis.com/2012/08/31/once-in-a-blue-moon/"			
"20120828"	"Random Access Lists"	"http://programmingpraxis.com/2012/08/28/random-access-lists/"			
"20120824"	"Hash Tables With Open Addressing"	"http://programmingpraxis.com/2012/08/24/hash-tables-with-open-addressing/"			
"20120821"	"Two More Random Exercises"	"http://programmingpraxis.com/2012/08/21/two-more-random-exercises/"			
"20120817"	"Two Random Exercises"	"http://programmingpraxis.com/2012/08/17/two-random-exercises/"			
"20120814"	"4SUM"	"http://programmingpraxis.com/2012/08/14/4sum/"			
"20120810"	"Minimum Scalar Product"	"http://programmingpraxis.com/2012/08/10/minimum-scalar-product/"			
"20120807"	"Make"	"http://programmingpraxis.com/2012/08/07/make/"			
"20120803"	"SEND + MORE = MONEY, Part 2"	"http://programmingpraxis.com/2012/08/03/send-more-money-part-2/"			
"20120731"	"SEND + MORE = MONEY, Part 1"	"http://programmingpraxis.com/2012/07/31/send-more-money-part-1/"			
"20120727"	"Min Stack"	"http://programmingpraxis.com/2012/07/27/min-stack/"			
"20120724"	"Zeckendorf Representation"	"http://programmingpraxis.com/2012/07/24/zeckendorf-representation/"			
"20120720"	"Infix Expression Evaluation"	"http://programmingpraxis.com/2012/07/20/infix-expression-evaluation/"			
"20120717"	"Breshenham’s Line-Drawing Algorithm"	"http://programmingpraxis.com/2012/07/17/breshenhams-line-drawing-algorithm/"			
"20120713"	"The Evolution Of Flibs"	"http://programmingpraxis.com/2012/07/13/the-evolution-of-flibs/"			
"20120710"	"Sieving For Totients"	"http://programmingpraxis.com/2012/07/10/sieving-for-totients/"			
"20120706"	"Fractran"	"http://programmingpraxis.com/2012/07/06/fractran/"			
"20120703"	"Chopping Words"	"http://programmingpraxis.com/2012/07/03/chopping-words/"			
"20120629"	"Sliding Median"	"http://programmingpraxis.com/2012/06/29/sliding-median/"			
"20120626"	"Billboard Challenge, Part 2"	"http://programmingpraxis.com/2012/06/26/billboard-challenge-part-2/"			
"20120622"	"Billboard Challenge, Part 1"	"http://programmingpraxis.com/2012/06/22/billboard-challenge-part-1/"			
"20120619"	"Digits Of E"	"http://programmingpraxis.com/2012/06/19/digits-of-e/"			
"20120615"	"Counting Ones"	"http://programmingpraxis.com/2012/06/15/counting-ones/"			
"20120612"	"Ordered Maps"	"http://programmingpraxis.com/2012/06/12/ordered-maps/"			
"20120608"	"Cat"	"http://programmingpraxis.com/2012/06/08/cat/"			
"20120605"	"Binomial Heaps"	"http://programmingpraxis.com/2012/06/05/binomial-heaps/"			
"20120601"	"Square Roots"	"http://programmingpraxis.com/2012/06/01/square-roots/"			
"20120529"	"Streaming Median"	"http://programmingpraxis.com/2012/05/29/streaming-median/"			
"20120525"	"Ackermann’s Function"	"http://programmingpraxis.com/2012/05/25/ackermanns-function/"			
"20120522"	"Hamming Codes"	"http://programmingpraxis.com/2012/05/22/hamming-codes/"			
"20120518"	"Formatted Numeric Output"	"http://programmingpraxis.com/2012/05/18/formatted-numeric-output/"			
"20120515"	"Streaming Knapsack"	"http://programmingpraxis.com/2012/05/15/streaming-knapsack/"			
"20120511"	"Partitions"	"http://programmingpraxis.com/2012/05/11/partitions/"			
"20120508"	"Factor Tables"	"http://programmingpraxis.com/2012/05/08/factor-tables/"			
"20120504"	"Even-Odd Partition"	"http://programmingpraxis.com/2012/05/04/even-odd-partition/"			
"20120501"	"Legendre’s Symbol"	"http://programmingpraxis.com/2012/05/01/legendres-symbol/"			
"20120427"	"Trabb Pardo Knuth Algorithm"	"http://programmingpraxis.com/2012/04/27/trabb-pardo-knuth-algorithm/"			
"20120424"	"Rhyming Dictionary"	"http://programmingpraxis.com/2012/04/24/rhyming-dictionary/"			
"20120420"	"John Horton Conway’s Game Of Life"	"http://programmingpraxis.com/2012/04/20/john-horton-conways-game-of-life/"			
"20120417"	"Twin Primes"	"http://programmingpraxis.com/2012/04/17/twin-primes/"			
"20120413"	"McNugget Numbers, Revisited"	"http://programmingpraxis.com/2012/04/13/mcnugget-numbers-revisited/"			
"20120410"	"Galton"	"http://programmingpraxis.com/2012/04/10/galton/"			
"20120406"	"Voters"	"http://programmingpraxis.com/2012/04/06/voters/"			
"20120403"	"Cornacchia’s Algorithm"	"http://programmingpraxis.com/2012/04/03/cornacchias-algorithm/"			
"20120330"	"Subset Sum, Meet In The Middle"	"http://programmingpraxis.com/2012/03/30/subset-sum-meet-in-the-middle/"			
"20120327"	"Subset Sum"	"http://programmingpraxis.com/2012/03/27/subset-sum/"			
"20120323"	"Base-26 Arithmetic"	"http://programmingpraxis.com/2012/03/23/base-26-arithmetic/"			
"20120320"	"Factoring Multiple RSA Keys"	"http://programmingpraxis.com/2012/03/20/factoring-multiple-rsa-keys/"			
"20120316"	"Sum of squares of two largest of three values"	"http://programmingpraxis.com/2012/03/16/sum-of-squares-of-two-largest-of-three-values/"			
"20120313"	"Perfect Power Predicate"	"http://programmingpraxis.com/2012/03/13/perfect-power-predicate/"			
"20120309"	"Sparse Sets"	"http://programmingpraxis.com/2012/03/09/sparse-sets/"			
"20120306"	"Union Route Cipher"	"http://programmingpraxis.com/2012/03/06/union-route-cipher/"			
"20120302"	"Balanced Delimiters"	"http://programmingpraxis.com/2012/03/02/balanced-delimiters/"			
"20120228"	"Next Greater Permutation Of Digits"	"http://programmingpraxis.com/2012/02/28/next-greater-permutation-of-digits/"			
"20120224"	"Remove characters from a string"	"http://programmingpraxis.com/2012/02/24/remove-characters-from-a-string/"			
"20120221"	"Learn A New Language"	"http://programmingpraxis.com/2012/02/21/learn-a-new-language-2/"			
"20120217"	"Hailstones"	"http://programmingpraxis.com/2012/02/17/hailstones/"			
"20120214"	"Divisors"	"http://programmingpraxis.com/2012/02/14/divisors/"			
"20120210"	"Search In An Ascending Matrix"	"http://programmingpraxis.com/2012/02/10/search-in-an-ascending-matrix/"			
"20120207"	"Solar Compass"	"http://programmingpraxis.com/2012/02/07/solar-compass/"			
"20120203"	"Roman Numeral Puzzle"	"http://programmingpraxis.com/2012/02/03/roman-numeral-puzzle/"			
"20120131"	"String Rotation"	"http://programmingpraxis.com/2012/01/31/string-rotation/"			
"20120127"	"Anagram Phrases"	"http://programmingpraxis.com/2012/01/27/anagram-phrases/"			
"20120124"	"A Dozen Lines Of Code"	"http://programmingpraxis.com/2012/01/24/a-dozen-lines-of-code/"			
"20120120"	"Knights On A Keypad"	"http://programmingpraxis.com/2012/01/20/knights-on-a-keypad/"			
"20120117"	"Guess The Number"	"http://programmingpraxis.com/2012/01/17/guess-the-number/"			
"20120113"	"Excel’s XIRR Function"	"http://programmingpraxis.com/2012/01/13/excels-xirr-function/"			
"20120110"	"Thirteen Anagram"	"http://programmingpraxis.com/2012/01/10/thirteen-anagram/"			
"20120106"	"Pritchard’s Wheel Sieve"	"http://programmingpraxis.com/2012/01/06/pritchards-wheel-sieve/"			
"20120103"	"Turtle Graphics"	"http://programmingpraxis.com/2012/01/03/turtle-graphics/"			
"20111230"	"Split"	"http://programmingpraxis.com/2011/12/30/split/"			
"20111227"	"Cheating Hangman"	"http://programmingpraxis.com/2011/12/27/cheating-hangman/"			
"20111223"	"Koch’s Snowflake"	"http://programmingpraxis.com/2011/12/23/kochs-snowflake/"			
"20111220"	"Hangman"	"http://programmingpraxis.com/2011/12/20/hangman/"			
"20111216"	"Majority Voting"	"http://programmingpraxis.com/2011/12/16/majority-voting/"			
"20111213"	"Validating Telephone Numbers"	"http://programmingpraxis.com/2011/12/13/validating-telephone-numbers/"			
"20111209"	"McNugget Numbers"	"http://programmingpraxis.com/2011/12/09/mcnugget-numbers/"			
"20111206"	"Pascal’s Triangle"	"http://programmingpraxis.com/2011/12/06/pascals-triangle/"			
"20111202"	"Knight Rider"	"http://programmingpraxis.com/2011/12/02/knight-rider/"			
"20111129"	"AVL Trees, Extended"	"http://programmingpraxis.com/2011/11/29/avl-trees-extended/"			
"20111125"	"AVL Trees"	"http://programmingpraxis.com/2011/11/25/avl-trees/"			
"20111122"	"Rabin’s Cryptosystem"	"http://programmingpraxis.com/2011/11/22/rabins-cryptosystem/"			
"20111118"	"Grade School Multiplication"	"http://programmingpraxis.com/2011/11/18/grade-school-multiplication/"			
"20111115"	"Phil Harvey’s Puzzle"	"http://programmingpraxis.com/2011/11/15/phil-harveys-puzzle/"			
"20111111"	"Generators"	"http://programmingpraxis.com/2011/11/11/generators/"			
"20111108"	"Improved Standard Continuation"	"http://programmingpraxis.com/2011/11/08/improved-standard-continuation/"			
"20111104"	"Craps"	"http://programmingpraxis.com/2011/11/04/craps/"			
"20111101"	"RIP John McCarthy"	"http://programmingpraxis.com/2011/11/01/rip-john-mccarthy/"			
"20111028"	"Crypt"	"http://programmingpraxis.com/2011/10/28/crypt/"			
"20111025"	"Cksum"	"http://programmingpraxis.com/2011/10/25/cksum/"			
"20111021"	"Sum, Revisited"	"http://programmingpraxis.com/2011/10/21/sum-revisited/"			
"20111018"	"The Wall"	"http://programmingpraxis.com/2011/10/18/the-wall/"			
"20111014"	"The First N Primes"	"http://programmingpraxis.com/2011/10/14/the-first-n-primes/"			
"20111011"	"Tower Of Hanoi"	"http://programmingpraxis.com/2011/10/11/tower-of-hanoi/"			
"20111007"	"Sieve Of Sundaram"	"http://programmingpraxis.com/2011/10/07/sieve-of-sundaram/"			
"20111004"	"Brainfuck"	"http://programmingpraxis.com/2011/10/04/brainfuck/"			
"20110930"	"Logarithm Tables"	"http://programmingpraxis.com/2011/09/30/logarithm-tables/"			
"20110927"	"Statistics"	"http://programmingpraxis.com/2011/09/27/statistics/"			
